Author;Article;Kind;Person;Country_of_author;Period_of_author;Сountry_of_person;Period_of_person;Extra_persons;Text;Name;City;Type;Issue;Year;Pages;Peculiarity;Theme;ID
Георгий Адамович;Радость;Рецензия на художественную книгу;Авдеенко А.О.;Русская литература;Советская литература;;;;Я люблю;Последние новости;Париж;Газета;№4816;31.05.1934;2;Подвал;;
Вейдле В.;Слава Гельдерлина;Персональная статья;Гельдерлин Ф.;Немецкая литература;1/2 XIXв.;;;;;Последние новости;Париж;Газета;№4816;31.05.1934;3;Чердак;;
Г.А.;«Новь»;Рецензия на издание;;Русская литература;Эмигрантская литература;;;;Новь;Последние новости;Париж;Газета;№4816;31.05.1934;3;Чердак;;
Словцов Р.;Русские писатели в 60-х годах;Рецензия на публикацию;Чуковский К.И.;Русская литература;Советская литература;Русская литература;2/2 XIXв.;;Люди и книги шестидесятых годов;Последние новости;Париж;Газета;№4816;31.05.1934;3;Подвал;;
Словцов Р.;Новый том писем Достоевского;Рецензия на публикацию;Долинин А.С.;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Достоевский Ф.М.;Ф.М. Достоевский. Письма III. 1872—1877;Последние новости;Париж;Газета;№4822;05.06.1934;3;Подвал;;
Георгий Адамович;Радость;Рецензия на художественную книгу;Авдеенко А.О.;Русская литература;Советская литература;;;;Я люблю;Последние новости;Париж;Газета;№4824;07.06.1934;3;Подвал;;
А. Д.;Мария Жеверс;Рецензия на художественную книгу;Жеверс М.;Фламандская литература;XXв.;;;;Madame Orpha;Последние новости;Париж;Газета;№4824;07.06.1934;3;Чердак;;
Н. К—гъ;Малолетний Витушишников;Рецензия на художественную книгу;Тынянов Ю.Н.;Русская литература;Советская литература;;;;Малолетний Витушишников;Последние новости;Париж;Газета;№4824;07.06.1934;3;Чердак;;
Т.;«Казачье единство»;Рецензия на издание;;Русская литература;Эмигрантская литература;;;;Казачье Единство;Последние новости;Париж;Газета;№4824;07.06.1934;3;Чердак;;
Словцов Р.;«Дневник писателя» и его читатели;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Достоевский Ф.М.;Ф.М. Достоевский. Письма III. 1872—1877;Последние новости;Париж;Газета;№4824;07.06.1934;4;Подвал;;
Словцов Р.;Северные сказочники;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;Фольклор;;Сказки и предания Северного края;Последние новости;Париж;Газета;№4828;12.06.1934;3;Подвал;;
Б/а;Пушкин в издании ГИХЛ-а;Рецензия на публикацию;Чуковский К.И.;Русская литература;Советская литература;Русская литература;1/2 XIXв.;Пушкин А.С.;;Последние новости;Париж;Газета;№4830;14.06.1934;2;Чердак;;
Георгий Адамович;Андрей Белый и Гоголь;Рецензия на исследование;Белый А.;Русская литература;Советская литература;Русская литература;1/2 XIXв.;Гоголь Н.В.;Мастерство Гоголя;Последние новости;Париж;Газета;№4830;14.06.1934;2;Подвал;;
М. К.;Чехов на Монпарнассе;Персональная статья;;Французская литература;XXв.;Русская литература;2/2 XIXв.;Чехов А.П.;;Последние новости;Париж;Газета;№4830;14.06.1934;3;Чердак;;
Г.А.;Памяти К. Вагинова;Некролог;Вагинов К.К.;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№4830;14.06.1934;3;Чердак;;
Вейдле В.;Мистраль;Персональная статья;Мистраль Ф.;Французская литература;;;;;;Последние новости;Париж;Газета;№4830;14.06.1934;3;Чердак;;
Словцов Р.;Жизнь и стихи Тютчева;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Тютчев Ф.И.;Ф.И. Тютчев. Полное собрание сочинений;Последние новости;Париж;Газета;№4830;14.06.1934;3;Подвал;;
Сазонова Ю.;Портреты;Рецензия на художественную книгу;Лакреттель Ж. де;Французская литература;XXв.;;;;Les aveux étudiés;Последние новости;Париж;Газета;№4832;16.06.1934;4;Подвал;;
Словцов Р.;«Фонарь» и «Марсельеза»;Рецензия на публикацию;;Русская литература;Советская литература;Французская литература;2/2 XIXв.;Рошфор А.;Приключения моей жизни;Последние новости;Париж;Газета;№4835;19.06.1934;4;Подвал;;
Георгий Адамович;Корень жизни;Рецензия на художественную книгу;Пришвин М.М.;Русская литература;Советская литература;;;;Жень-Шень;Последние новости;Париж;Газета;№4837;21.06.1934;2;Подвал;;
Вейдле В.;Марксистские искусствоведы;Обзорная статья;;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№4838;22.06.1934;5;Подвал;;
Сазонова Ю.;Духовный путь Гоголя;Персональная статья;Гоголь Н.В.;Русская литература;1/2 XIXв.;;;;;Последние новости;Париж;Газета;№4840;24.06.1934;4;Подвал;;
Георгий Адамович;«Числа»;Рецензия на художественную книгу;Агеев М.;Русская литература;Эмигрантская литература;;;;Повесть с кокаином;Последние новости;Париж;Газета;№4844;28.06.1934;2;Подвал;;
Георгий Адамович;«Числа»;Рецензия на художественную книгу;Фельзен Ю.;Русская литература;Эмигрантская литература;;;;Возвращение;Последние новости;Париж;Газета;№4844;28.06.1934;2;Подвал;;
Георгий Адамович;«Числа»;Рецензия на художественную книгу;Шаршун С.И.;Русская литература;Эмигрантская литература;;;;С одинокими Господь;Последние новости;Париж;Газета;№4844;28.06.1934;2;Подвал;;
Георгий Адамович;«Числа»;Рецензия на художественную книгу;Алферов А.;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№4844;28.06.1934;2;Подвал;;
Георгий Адамович;«Числа»;Рецензия на художественную книгу;Татищев Н.;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№4844;28.06.1934;2;Подвал;;
Георгий Адамович;«Числа»;Рецензия на художественную книгу;Горлин М.;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№4844;28.06.1934;2;Подвал;;
Георгий Адамович;«Числа»;Рецензия на художественную книгу;Поплавский Б.Ю.;Русская литература;Эмигрантская литература;;;;Бал;Последние новости;Париж;Газета;№4844;28.06.1934;2;Подвал;;
Георгий Адамович;«Числа»;Рецензия на художественную книгу;Оцуп Н.А.;Русская литература;Эмигрантская литература;;;;Красавица;Последние новости;Париж;Газета;№4844;28.06.1934;2;Подвал;;
Георгий Адамович;«Числа»;Рецензия на статью;Поплавский Б.Ю.;Русская литература;Эмигрантская литература;;;;Вокруг «Чисел»;Последние новости;Париж;Газета;№4844;28.06.1934;2;Подвал;;
Вейдле В.;Жюль Ренар;Персональная статья;Ренар Ж.;Французская литература;;;;;;Последние новости;Париж;Газета;№4844;28.06.1934;3;Чердак;;
Н. К.;Записки о будущей японо-американской войне;Рецензия на художественную книгу;Фукунага К.;Японская литература;XXв.;;;;Записки о будущей японо-американской войне;Последние новости;Париж;Газета;№4844;28.06.1934;3;Чердак;;
А.;Неизведанные стихи Некрасова;Рецензия на публикацию;Чуковский К.И.;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Некрасов Н.А.;;Последние новости;Париж;Газета;№4844;28.06.1934;3;Чердак;;
Сазонова Ю.;Сломанный мир;Рецензия на художественную книгу;Марсель Г.;Французская литература;XXв.;;;;Le Monde Cassé;Последние новости;Париж;Газета;№4846;30.06.1934;5;Подвал;;
Бенедиктов М.;Против Гюго;Персональная статья;Гюго В.;Французская литература;1/2 XIXв.;;;;;Последние новости;Париж;Газета;№4847;01.07.1934;5;Подвал;;
Словцов Р.;Как писалась и исполнялась «Женитьба»;Рецензия на исследование;Данилов С.С.;Русская литература;Советская литература;Русская литература;1/2 XIXв.;Гоголь Н.В.;«Женитьба» Н.В. Гоголя;Последние новости;Париж;Газета;№4849;03.07.1934;2;Подвал;;
Р.С.;Памяти А.А. Яблоновского;Некролог;Яблоновский А.А.;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№4851;05.07.1934;3;Чердак;;
Г.А.;«Скит»;Рецензия на издание;;Русская литература;Эмигрантская литература;;;;Скит;Последние новости;Париж;Газета;№4851;05.07.1934;3;Чердак;;
А. Ш.;Литературный скандал в Англии;Рецензия на исследование;;Английская литература;XXв.;;;;An Enquiry into the Nature of Certain Nineteenth Century Pamphlets;Последние новости;Париж;Газета;№4851;05.07.1934;3;Чердак;;
Дон-Аминадо;А.А. Яблоновский;Некролог;Яблоновский А.А.;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№4851;05.07.1934;4;Чердак;;
С. Поляков-Литовцев;Хаим Нахман Бялик;Некролог;Бялик Х.Н.;Еврейская литература;XXв.;;;;;Последние новости;Париж;Газета;№4856;10.07.1934;3;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Шагинян М.;Русская литература;Советская литература;;;;Тайна трех букв;Последние новости;Париж;Газета;№4858;12.07.1934;3;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Киршон В.;Русская литература;Советская литература;;;;Чудесный сплав;Последние новости;Париж;Газета;№4858;12.07.1934;3;Подвал;;
Вейдле В.;Анри де Монтерлан;Персональная статья;Монтерлан А. де;Французская литература;XXв.;;;;;Последние новости;Париж;Газета;№4858;12.07.1934;3;Чердак;;
Б/а;«Разбойник Сухай»;Рецензия на художественную книгу;Ольбрахт И.;Чешская литература;XXв.;;;;Разбойник Сухай;Последние новости;Париж;Газета;№4858;12.07.1934;3;Чердак;;
Ек. Кускова;Король шутки;Некролог;Яблоновский А.А.;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№4859;13.07.1934;3;Подвал;;
Георгий Адамович;О Чехове;Персональная статья;Чехов А.П.;Русская литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№4865;19.07.1934;3;Подвал;;
Мих. Ос.;В дебрях Манчжурии;Рецензия на художественную книгу;Байков Н.;Русская литература;Эмигрантская литература;;;;В дебрях Манчжурии;Последние новости;Париж;Газета;№4865;19.07.1934;3;Чердак;;
А. Д.;Чеслав Галич;Рецензия на художественную книгу;Галич Ч.;Польская литература;XXв.;;;;Ludzie Którzy jeszcze Zyja Warszawa;Последние новости;Париж;Газета;№4865;19.07.1934;3;Чердак;;
Сазонова Ю.;Надежда;Рецензия на художественную книгу;Арлан М.;Французская литература;XXв.;;;;Les vivants;Последние новости;Париж;Газета;№4867;21.07.1934;5;Подвал;;
Словцов Р.;Из прошлого;Рецензия на исследование;Ашукин Н.С.;Русская литература;Советская литература;Русская литература;1/2 XIXв.;Пушкин А.С.;«Живой Пушкин»;Последние новости;Париж;Газета;№4870;24.07.1934;4;Подвал;;
Словцов Р.;Из прошлого;Рецензия на художественную книгу;Гиляровский В.А.;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Сухово-Кобылин А.В.;Друзья и встречи;Последние новости;Париж;Газета;№4870;24.07.1934;4;Подвал;;
Вейдле В.;Искусство и машины;Рецензия на исследование;Волькенштейн В.;Русская литература;Советская литература;;;;Опыт современной эстетики;Последние новости;Париж;Газета;№4872;26.07.1934;3;Чердак;;
Георгий Адамович;Рукопись;Рецензия на художественную книгу;;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№4872;26.07.1934;3;Подвал;;
Бальмонт К.;О поэзии Фета;Персональная статья;Фет А.А.;Русская литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№4875;29.07.1934;5;Подвал;;
А.;Чехов о самоубийцах;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Чехов А.П.;Литературный Ленинград;Последние новости;Париж;Газета;№4875;29.07.1934;5;Чердак;;
Сазонова Ю.;Время;Обзорная статья;;Общее;Общее;;;;;Последние новости;Париж;Газета;№4877;31.07.1934;4;Подвал;;
Мих. Ос.;Франко-русский роман;Рецензия на художественную книгу;Пари Ж.;Французская литература;XXв.;;;;Les hommes sont pressés;Последние новости;Париж;Газета;№4879;02.08.1934;3;Чердак;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Катаев В.П.;Русская литература;Советская литература;;;;Дорога цветов;Последние новости;Париж;Газета;№4879;02.08.1934;3;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Пильняк Б.А.;Русская литература;Советская литература;;;;Рассказы;Последние новости;Париж;Газета;№4879;02.08.1934;3;Подвал;;
А.;«Тень Фонвизина»;Рецензия на художественную книгу;Пушкин А.С.;Русская литература;1/2 XIXв.;;;;;Последние новости;Париж;Газета;№4881;04.08.1934;5;Чердак;;
Н. К—гъ;Две книги о Тургеневе;Рецензия на исследование;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Тургенев И.С.;И.С. Тургенев. К пятидесятилетию его смерти;Последние новости;Париж;Газета;№4886;09.08.1934;3;Чердак;;
Н. К—гъ;Две книги о Тургеневе;Рецензия на исследование;Клеман М.К.;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Тургенев И.С.;Летопись жизни и творчества И.С. Тургенева;Последние новости;Париж;Газета;№4886;09.08.1934;3;Чердак;;
С.;Судьба архивов Салтыкова;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Салтыков-Щедрин М.Е.;Литературное наследство;Последние новости;Париж;Газета;№4886;09.08.1934;3;Чердак;;
Георгий Адамович;Неизданная проза Брюсова;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;Советская литература;Брюсов В.Я.;Валерий Брюсов. Неизданная проза;Последние новости;Париж;Газета;№4886;09.08.1934;3;Подвал;;
Словцов Р.;Иудушка Головлев и его прототип;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Салтыков-Щедрин М.Е.;Литературное наследство;Последние новости;Париж;Газета;№4891;14.08.1934;3;Подвал;;
Словцов Р.;Писатель и читатели;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Салтыков-Щедрин М.Е.;Литературное наследство №13-14;Последние новости;Париж;Газета;№4893;16.08.1934;2;Подвал;;
Н. К—гъ;Путеводитель по русской библиографии;Рецензия на исследование;Фомин А.Г.;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№4893;16.08.1934;3;Чердак;;
В. Мякотин;Стихотворения А.С. Хомякова;Рецензия на публикацию;Францев В.А.;Русская литература;Эмигрантская литература;Русская литература;1/2 XIXв.;Хомяков А.С.;;Последние новости;Париж;Газета;№4893;16.08.1934;3;Чердак;;
Книжник;Книжные новости;Обзорная статья;;Общее;Общее;;;;;Последние новости;Париж;Газета;№4893;16.08.1934;3;Чердак;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Федин К.А.;Русская литература;Советская литература;;;;Похищение Европы;Последние новости;Париж;Газета;№4893;16.08.1934;3;Подвал;;
А. В—инъ;Юмор и сатира;Рецензия на издание;;Русская литература;Советская литература;;;;Крокодил;Последние новости;Париж;Газета;№4896;19.08.1934;2;Чердак;;
Словцов Р.;Москва «Войны и мира»;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;1/2 XIXв.;Жихарев С.П.;С.П. Жихарев. Записки современника. Дневник студента;Последние новости;Париж;Газета;№4898;21.08.1934;3;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на исследование;Бицилли П.М.;Русская литература;Эмигрантская литература;;;;Краткая история русской литературы (от Пушкина до наших дней)»;Последние новости;Париж;Газета;№4900;23.08.1934;3;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Унковский В.;Русская литература;Эмигрантская литература;;;;Перелом;Последние новости;Париж;Газета;№4900;23.08.1934;3;Подвал;;
Н. К—гъ;Татарский роман;Рецензия на художественную книгу;Ибрагимов Г.;Татарская литература;XXв.;;;;Дочь степи;Последние новости;Париж;Газета;№4900;23.08.1934;3;Чердак;;
Словцов Р.;Москва в 1805 году;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;1/2 XIXв.;Жихарев С.П.;С.П. Жихарев. Записки современника. Дневник студента;Последние новости;Париж;Газета;№4900;23.08.1934;4;Подвал;;
Словцов Р.;Из писем и бумаг В.Г. Короленко;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Короленко В.Г.;В.Г. Короленко. Воспоминания о писателях;Последние новости;Париж;Газета;№4905;28.08.1934;3;Подвал;;
Георгий Адамович;Святые мечты;Персональная статья;Жуковский В.А.;Русская литература;1/2 XIXв.;;;;;Последние новости;Париж;Газета;№4905;30.08.1934;3;Подвал;;
Мих. Ос.;Новая книга А.И. Куприна;Рецензия на художественную книгу;Куприн А.И.;Русская литература;Эмигрантская литература;;;;Жанета;Последние новости;Париж;Газета;№4905;30.08.1934;3;Чердак;;
М. Б.;«После Шелли»;Рецензия на публикацию;;Английская литература;XXв.;Английская литература;1/2 XIXв.;Вилльямс Д., Хогг Д., Шелли П.;After Shelley. The letters of T.J. Hoss to Jane Williams;Последние новости;Париж;Газета;№4905;30.08.1934;3;Чердак;;
Словцов Р.;Иван Пнин;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;XVIIIв.;Пнин И.;Иван Пнин. Сочинения;Последние новости;Париж;Газета;№4905;30.08.1934;4;Подвал;;
Сазонова Ю.;Восстание против слова;Рецензия на художественную книгу;Моруа А.;Французская литература;XXв.;;;;Инстинкт счастья;Последние новости;Париж;Газета;№4909;01.09.1934;3;Подвал;;
Словцов Р.;Горьковский сборник;Рецензия на публикацию;Десницкий В.А.;Русская литература;Советская литература;Русская литература;Советская литература;Горький М.;М. Горький. Материалы и исследования;Последние новости;Париж;Газета;№4912;04.09.1934;4;Подвал;;
Вейдле В.;Появление Шекспира;Персональная статья;Шекспир У.;Английская литература;;;;;;Последние новости;Париж;Газета;№4914;06.09.1934;3;Чердак;;
Ант. Ладинский;В канадской усадьбе;Рецензия на художественную книгу;Мазо де ля Рош;Канадская литература;XXв.;;;;Jilda. Plon;Последние новости;Париж;Газета;№4914;06.09.1934;3;Чердак;;
Георгий Адамович;По советским журналам ;Рецензия на статью;Зощенко М.М.;Русская литература;Советская литература;;;;Основы нашей статьи;Последние новости;Париж;Газета;№4914;06.09.1934;4;Подвал;;
Георгий Адамович;По советским журналам ;Рецензия на художественную книгу;Олеша Ю.К.;Русская литература;Советская литература;;;;Строгий юноша;Последние новости;Париж;Газета;№4914;06.09.1934;4;Подвал;;
Георгий Адамович;По советским журналам ;Рецензия на художественную книгу;Берггольц О.;Русская литература;Советская литература;;;;Журналисты;Последние новости;Париж;Газета;№4914;06.09.1934;4;Подвал;;
Георгий Адамович;Чехов и вера;Рецензия на исследование;Курдюмов В.;Русская литература;Эмигрантская литература;;;;Сердце смятенное;Последние новости;Париж;Газета;№4921;13.09.1934;2;Подвал;;
Вейдле В.;Хосе Ортега;Персональная статья;Хосе Ортега-и-Гассе́т;Итальянская литература;XXв.;;;;;Последние новости;Париж;Газета;№4921;13.09.1934;3;Чердак;;
С.П.;Книжный кризис;Обзорная статья;;Французская литература;XXв.;;;;;Последние новости;Париж;Газета;№4921;13.09.1934;3;Чердак;;
Словцов Р.;Род Достоевского;Рецензия на исследование;Волоцкой М.В.;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Достоевский Ф.М.;М.В. Волоцкой. Хроника рода Достоевского;Последние новости;Париж;Газета;№4921;13.09.1934;3;Подвал;;
Сазонова Ю.;Инфляция чувств;Обзорная статья;;Общее;Общее;;;;;Последние новости;Париж;Газета;№4923;15.09.1934;4;Подвал;;
Словцов Р.;Петербург 60-х годов;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Штакеншнейдер Е.А.;Е.А.Штакеншнейдер. Дневник и записки (1854—1886);Последние новости;Париж;Газета;№4926;18.09.1934;4;Подвал;;
Георгий Адамович;После съезда;Обзорная статья;;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№4928;20.09.1934;2;Подвал;;
Бальмонт К.;Вестник;Некролог;Пименова-Нобль Л.Л.;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№4928;20.09.1934;3;Чердак;;
Б/а;Стихи Горького;Персональная статья;Горький М.;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№4928;20.09.1934;3;Чердак;;
Вейдле В.;Маргарита Готье;Персональная статья;Дюма А.;Французская литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№4929;21.09.1934;3;Подвал;;
Словцов Р.;Салон Штакеншнейдеров;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Штакеншнейдер Е.А.;Е.А.Штакеншнейдер. Дневник и записки (1854—1886);Последние новости;Париж;Газета;№4933;25.09.1934;3;Подвал;;
Георгий Адамович;После съезда;Обзорная статья;;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№4935;27.09.1934;2;Подвал;;
Вейдле В.;Исидор Дюкасс;Персональная статья;Лотреамон (Дюкасс И.);Французская литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№4935;27.09.1934;3;Чердак;;
Вейдле В.;Психоанализ и литература;Обзорная статья;;Общее;Общее;;;;;Последние новости;Париж;Газета;№4938;30.09.1934;4;Подвал;;
Словцов Р.;Новый том «Звеньев»;Рецензия на издание;;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№4942;04.10.1934;3;Подвал;;
С.;Новые материалы московского «Литературного музея»;Рецензия на публикацию;;Русская литература;Советская литература;;;;Литературное наследство;Последние новости;Париж;Газета;№4942;04.10.1934;3;Чердак;;
Н.;Стерилизованный мир;Рецензия на художественную книгу;Доржелес Р.;Французская литература;XXв.;;;;Si c’était vrai;Последние новости;Париж;Газета;№4942;04.10.1934;3;Чердак;;
Словцов Р.;На Липецких водах;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Жихарев С.П.;С.П. Жихарев. Записки современника. Дневник студента;Последние новости;Париж;Газета;№4947;09.10.1934;4;Подвал;;
Словцов Р.;Достоевский и Победоносцев;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Достоевский Ф.М.;Литературное наследство. Книга 15-ая;Последние новости;Париж;Газета;№4949;11.10.1934;3;Подвал;;
Мих. Ос.;Словарь книговедения;Рецензия на исследование;Мезьер А.В.;Русская литература;Советская литература;;;;Словарный указатель по книговедению;Последние новости;Париж;Газета;№4949;11.10.1934;3;Чердак;;
В. Мякотин;Кирилло-Мефодиевская библиография;Рецензия на исследование;Ильинский Г.А.;Русская литература;Эмигрантская литература;;;;Опыт систематической кирилло-мефодиевской библиографии;Последние новости;Париж;Газета;№4949;11.10.1934;3;Чердак;;
Б/а;«Читаете ли вы Анатоля Франса»?;Юбилейная статья;Франс А.;Французская литература;XXв.;;;;;Последние новости;Париж;Газета;№4949;11.10.1934;3;Чердак;;
Словцов Р.;Четыре женщины;Рецензия на публикацию;;Русская литература;Советская литература;;;;Звенья. Сборники материалов и документов по истории литературы, искусства и общественной мысли XIX века;Последние новости;Париж;Газета;№4954;16.10.1934;4;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на исследование;Зайцев Б.К.;Русская литература;Эмигрантская литература;Русская литература;Эмигрантская литература;Бунин И.А.;И.А. Бунин: Жизнь и творчество;Последние новости;Париж;Газета;№4956;18.10.1934;2;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на исследование;Hoffman M., Pierre A.;Французская литература;XXв.;Русская литература;2/2 XIXв.;Толстой Л.Н.;La vie de Tolstoi;Последние новости;Париж;Газета;№4956;18.10.1934;2;Подвал;;
Вейдле В.;Рисунки Гюго;Персональная статья;Гюго В.;Французская литература;1/2 XIXв.;;;;;Последние новости;Париж;Газета;№4956;18.10.1934;3;Чердак;;
Б/а;Самуэль Фишер;Некролог;Фишер С.;Немецкая литература;XXв.;;;;;Последние новости;Париж;Газета;№4956;18.10.1934;3;Чердак;;
Сазонова Ю.;Жизнь Гейне;Рецензия на исследование;Валлентин А.;Французская литература;XXв.;Немецкая литература;1/2 XIXв.;Гейне Г.;Henri Heine;Последние новости;Париж;Газета;№4958;20.10.1934;5;Подвал;;
Словцов Р.;Газетный золотой век;Рецензия на исследование;Вейлль Ж.;Французская литература;XXв.;;;;Le journal. Origines, évolution et rôle de la presse périodique;Последние новости;Париж;Газета;№496;23.10.1934;3;Подвал;;
Георгий Адамович;Поэзия здесь и там;Обзорная статья;;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№4963;25.10.1934;3;Подвал;;
Сазонова Ю.;Женщина;Рецензия на художественную книгу;Пейсон Э.;Французская литература;;;;;Une femme;Последние новости;Париж;Газета;№4963;25.10.1934;3;Чердак;;
Б/а;70-летие Габриэля д’Аннунцио;Юбилейная статья;Аннунцио Г. де;Итальянская литература;XXв.;;;;;Последние новости;Париж;Газета;№4963;25.10.1934;4;Чердак;;
Словцов Р.;Люди пушкинского Петербурга;Рецензия на исследование;Вересаев В.В.;Русская литература;Советская литература;Русская литература;1/2 XIXв.;Пушкин А.С.;В.Вересаев. Спутники Пушкина;Последние новости;Париж;Газета;№4968;30.10.1934;3;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Иванов Вс.Н.;Русская литература;Советская литература;;;;Похождения факира;Последние новости;Париж;Газета;№4970;01.11.1934;2;Подвал;;
Словцов Р.;Судьба Николая Полевого;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;1/2 XIXв.;Полевой Н.А.;Николай Полевой. Материалы по истории русской журналистики 30-х годов;Последние новости;Париж;Газета;№4970;01.11.1934;3;Подвал;;
Кн. Сергей Волконский ;Автобиография Г. Уэльса;Персональная статья;Уэльс Г.;Английская литература;XXв.;;;;;Последние новости;Париж;Газета;№4970;01.11.1934;3;Чердак;;
Мих. Ос.;Старинная повесть;Рецензия на художественную книгу;Розенфельд С.;Русская литература;Советская литература;;;;Старинная повесть;Последние новости;Париж;Газета;№4970;01.11.1934;3;Чердак;;
С.;Чтение наших предков;Обзорная статья;;Русская литература;Общее;;;;;Последние новости;Париж;Газета;№4970;01.11.1934;3;Чердак;;
Сазонова Ю.;Ненужная победа;Персональная статья;Чехов А.П.;Русская литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№4972;03.11.1934;5;Подвал;;
Словцов Р.;Толстой и начало толстовства;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Толстой Л.Н.;Л.Н. Толстой. Полное собрание сочинений;Последние новости;Париж;Газета;№4977;08.11.1934;2;Подвал;;
Вейдле В.;Моника Сент-Элье;Рецензия на художественную книгу;Сент-Элье М.;Французская литература;XXв.;;;;Bois-Mort;Последние новости;Париж;Газета;№4977;08.11.1934;3;Чердак;;
Георгий Адамович;«Современные записки», Кн. LVI;Рецензия на художественную книгу;Сирин В. (Набоков В.В.);Русская литература;Эмигрантская литература;;;;Отчаяние;Последние новости;Париж;Газета;№4977;08.11.1934;3;Подвал;;
Георгий Адамович;«Современные записки», Кн. LVI;Рецензия на художественную книгу;Алданов М.А.;Русская литература;Эмигрантская литература;;;;Пещера;Последние новости;Париж;Газета;№4977;08.11.1934;3;Подвал;;
Георгий Адамович;«Современные записки», Кн. LVI;Рецензия на художественную книгу;Газданов Г.И.;Русская литература;Эмигрантская литература;;;;Начало;Последние новости;Париж;Газета;№4977;08.11.1934;3;Подвал;;
Георгий Адамович;«Современные записки», Кн. LVI;Рецензия на статью;Степун Ф.А.;Русская литература;Эмигрантская литература;Русская литература;Советская литература;Белый А.;;Последние новости;Париж;Газета;№4977;08.11.1934;3;Подвал;;
М. Курдюмов;Последние годы А.П. Чехова;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Чехов А.П.;Переписка А.П. Чехова с О.Л.Книппер;Последние новости;Париж;Газета;№4978;09.11.1934;2;Подвал;;
